eng,spa,source,otp
70; seventy,70; setenta,7 0,pitnul
80; eighty,80; ochenta,8 0,hatnul
90; ninety,90; noventa,9 0,mesnul
100; one hundred; hundred; hecto,100; cien; ciento,1 0 0,kannulnul
200; two hundred,200; doscientos,2 0 0,tosnulnul
300; three hundred,300; trescientos,3 0 0,sannulnul
400; four hundred,400; cuatrocientos,4 0 0,folnulnul
500; five hundred,500; quinientos,5 0 0,limnulnul
600; six hundred,600; seiscientos,6 0 0,cahnulnul
700; seven hundred,700; setecientos,7 0 0,pitnulnul
800; eight hundred,800; ochocientos,8 0 0,hatnulnul
900; nine hundred,900; novecientos,9 0 0,mesnulnul
1 000; one thousand; thousand; kilo-; k,1 000; mil; kilo-; k,×10^ 3,lyonsan
10 000; ten thousand,10 000; diez mil,×10^ 4,lyonfol
100 000; one hundred thousand; hundred thousand,100 000; cien mil,×10^ 5,lyonlim
1 000 000; one million; million; mega-; M,1 000 000; millón; mega-; M,×10^ 6,lyoncah
1 000 000 000; one billion; billion; giga-; G,1 000 000 000; billón; giga-; G,×10^ 9,lyonmes
1 000 000 000 000; one trillion; trillion; terra-; T,1 000 000 000; trillón; terra-; T,×10^ 12,lyonkantos
half; one half; 1/2; .5,mitad; medio; 1/2; .5,over 2,peltos
third; one third; 1/3; .̅3,tercio; 1/3; .̅3,over 3,pelsan
two-thirds; 2/3; .̅6,dos tercios; 2/3; .̅6,2 over 3,tospelsan
quarter; fourth; one fourth; 1/4; .25,cuarto; 1/4; .25,over 4,pelfol
three-quarters; three-fourths; 3/4; .75,tres cuartos; 3/4; .75,3 over 4,sanpelfol
fifth; one fifth; 1/5; .2,quinto; 1/5; .2,over 5,pellim
eighth; one eighth; 1/8; .125,octavo; 1/8; .125,over 8,pelhat
.1; one tenth; tenth; deci-; d,.1; décimo; deci-; d,×10^ minus 1,lyonmenkan
.01; one hundredth; hundredth; centi-; c,.01; centésimo; centi-; c,×10^ minus 2,lyonmentos
.001; one thousandth; thousandth; milli-; m,.001; milésimo; mili-; m,×10^ minus 3,lyonmensan
.000001; one millionth; millionth; micro-; μ,,×10^ minus 6,lyonmencah
.000000001; one billionth; billionth; nano-; n,,×10^ minus 9,lyonmenmes
.000000000001; one trillionth; trillionth; pico-; p,,×10^ minus 12,lyonmenkantos
year,,ground time,pumkwelwel
month,,moon time,fikkwelwel
week,,7 time,pitkwelwel
day; date,,sun time,sunkwelwel
hour,,be-short time,tapakwelwel
minute,,1 time,kankwelwel
second,,2 time,toskwelwel
spring,,begin season,kisison
summer,,be-hot season,okusison
autumn,,end season,nusison
winter,,be-cold season,enisison
yesterday,,previous day,nitaksunkwelwel
today,,this day,olsunkwelwel
tomorrow,,next day,kulansunkwelwel
last year,,previous year,nitakpumkwelwel
this year,,this year,olpumkwelwel
next year,,next year,kulanpumkwelwel
bathroom; restroom,,be-clean indoors,pulanelon
layer,,be-below surface,nicelumah
dream; OBJ {dreamer} dreams IND {dream},,sleep perceive,tolmicua
daydream; hallucinate; OBJ {daydreamer} hallucinates IND {daydream},,day dream,sunkwelweltolmicua
be comatose; OBJ is in a coma,,be-finite be-dead,osiminyouhu
map,,layout image,leyawthulum
map projection,,map transformation,leyawthulumpatililip
be hallowed; worship; OBJ {worshiper} worships IND,,have-faith want,fiticai
rule as a monarch; IND {monarch; king; queen} rules OBJ {peasant; kingdom} {LOCATION:kingdom; monarchy},,1 govern,kantunci
rule as an oligarchy; IND {oligarchy} rules OBJ {LOCATION:oligarchic kingdom},,little govern,pihtunci
govern as a republic; IND {representative; house; legislature} rules OBJ {LOCATION:republic; representative democracy},,much govern,muctunci
govern as a direct democracy; IND {voter; electoral base} rules OBJ {LOCATION:democracy; direct democracy},,all govern,kittunci
tempt; entice to something appealing but immoral; SBJ {tempter; temptress} encourages IND {temptee} to do OBJ {temptation},,be-evil tell,ikcinati
noon; midday,,be-inside daytime,nefuhalwel
midnight,,be-inside nighttime,nesicalwel
needle,,be-sharp rod,aklapal
be jagged; be zig-zag; be pointy; OBJ {zig-zag} is jagged,,much be-straight,mucsite
be polygonal; OBJ {polygon} is polygonal,,be-straight be-closed,siteponto
polygonise; SBJ turns OBJ into a polygon,,INCOHATIVE OF be polygonal,sitepontoki
be spherical; be round; OBJ {sphere; ball} is spherical,,surface be-circular,lumahsikla
be box-shaped; OBJ {box; rectangular prism} is box-shaped,,surface be-square,lumahfunta
be polyhedral; OBJ {polyhedron; gem} is polyhedral,,surface be-polygonal,lumahsiteponto
disc,,be-consistent circle,sepusiklalon
ring; hoop; band; circlet,,be-closed circle,pontosiklalon
tube,,be-long circle,lamasiklalon
be mottled; be speckled; OBJ is mottled in colour,,be-foamy be-coloured,fomilono
spot; dot {GENITIVE:spotted; dotted},,be-coloured region,lonowicon
stripe {GENITIVE:striped},,be-coloured line,lonositelon
be gray; be grey; be dull; be bland; be desaturated; OBJ reflects all wavelengths of light about the same,,be-white be-black,putimilu
colour gray; colour grey; dull; desaturate; SBJ desaturates the colours of OBJ,,INCOHATIVE OF be gray,putimiluki
be brightly coloured; be saturated; be colourful; be vibrant; OBJ reflects some wavelengths of light much more than others {AMOUNT:chroma; saturation; brightness},,be-red be-yellow be-blue,lucipilapilu
colour; SBJ brightens the colours of OBJ,,INCOHATIVE OF be brightly coloured,lucipilapiluki
"be warm-coloured; OBJ is red, orange, yellow, or white",,be-hot be-coloured,okulono
"be cool-coloured; OBJ is green, blue, purple, or black",,be-cold be-coloured,enilono
be brown; be murky; OBJ looks brown,,be-black be-orange,milumuti
brown; colour brown; SBJ colours OBJ brown,,INCOHATIVE OF be brown,milumutiki
be pink; be rose; OBJ looks pink,,be-white be-red,putiluci
pinken; rose-tint; colour pink; SBJ colours OBJ pink,,INCOHATIVE OF be pink,putiluciki
be azure; be sky blue; OBJ looks azure,,be-white be-blue,putipilu
colour azure; colour sky blue; SBJ colours OBJ azure,,INCOHATIVE OF be azure,putipiluki
be cyan; be teal; be blue-green; OBJ looks cyan,,be-blue be-green,pilutihu
colour cyan; colour teal; colour blue-green; SBJ colours OBJ cyan,,INCOHATIVE OF be cyan,pilutihuki
be magenta; be fuchsia; OBJ looks magenta,,be-red be-purple,lucimuta
colour magenta; colour fuchsia; SBJ colours OBJ magenta,,INCOHATIVE OF be magenta,lucimutaki
be wood; be wooden; OBJ is made out of wood,,tree be-made-of,kaccaka
water; dihydrogen monoxide,,live body-of-water,icicwelon
air; atmosphere; nitrogen and oxygen and all that jazz,,sky gas,miphyolon
lava; magma,,be-stone body-of-water,patocwelon
mud,,be-soil body-of-water,anicwelon
oxygen,,breathe gas,hihahyolon
be copper; OBJ is made of copper,,be-green be-metal,tihutatu
be bronze; OBJ is made of bronze,,be-skillful be-copper,lusotihutatu
be iron; OBJ is made of iron,,be-hard be-metal,nitatatu
be steel; OBJ is made of steel,,be-skillful be-iron,lusonitatatu
be gold; OBJ is made of gold,,be-yellow be-metal,pilatatu
be lead; OBJ is made of lead,,be-heavy be-metal,palitatu
be tin; OBJ is made of tin,,be-soft be-metal,kulatatu
be mercury; be quicksilver; OBJ is made of mercury,,be-liquid be-metal,cwetatu
gunpowder,,burn powder,cyaukiufalon
oil; petroleum,,burn body-of-water,cyaukicwelon
carbon; coal,,live material,icicakalum
nitrogen,,sky material,mipcakalum
sodium,,be-salty material,lunacakalum
cobalt (substance),,be-blue material,pilucakalum
be quartz; OBJ is made of quartz,,white be-crystal,putilonkio
be emerald; OBJ is made of emerald,,be-green be-crystal,tihukio
be diamond; OBJ is made of diamond,,be-hard be-crystal,nitakio
be-pearl; OBJ is made of pearl,,be-circular be-crystal,siklakio
be plastic; OBJ is made of plastic,,person be-crystal,wonkio
be rubber; OBJ is made of rubber,,bounce be-crystal,polaikio
be glass; OBJ is made of glass,,be-transparent be-stone,emanapato
be graphite OBJ is made of graphite,,write be-stone,tepato
cloth; fabric,,string sheet,cyenhwok
ink,,write body-of-water,tecwelon
paper; piece of paper; sheet of paper,,write sheet,tehwok
canvas,,art sheet,athwok
ceramic,,person stone,wonpatolon
smoke,,be-burnt gas,cyauhyolon
be sand; be dust; OBJ {pile of sand} is made of sand,,be-stone be-powder,patoufa
be gravel; course sand; OBJ is made of gravel,,be-stone be-chunky,patoisa
be snow; be shaved ice; be slush; OBJ is made of snow,,be-cold be-powder,eniufa
firearm; gun,,be-burnt gun,cyaufekiluat
beach,,landmass bounds,taylkatilum
oasis; watering hole,,be-liquid point,cwetyen
freshwater,,be-pure body-of-water,puhtecwelon
river; stream; brook,,be-liquid path,cwepucolon
waterfall,,be-liquid fall where-(relative),cwekaelyot
plateau; highlands,,be-high landmass,macetayl
lowlands,,be-low landmass,pahotayl
plains; flatlands,,be-straight landmass,sitetayl
tundra,,be-cold landmass,enitayl
desert,,be-sand landmass,patoufatayl
jungle; rainforest,,plant landmass,ciuhtayl
swamp; marsh; bog; wetlands,,be-liquid landmass,cwetayl
puddle,,little body-of-water,pihcwelon
lake; sea,,much body-of-water,muccwelon
brook; stream; rivulet,,little river,pihcwepucolon
vast river,,much river,muccwepucolon
pebble,,little stone,pihpatolon
boulder,,much stone,mucpatolon
hut; cottage,,little structure,pihonalon
skyscraper; mansion,,much structure,muconalon
hill,,little mountain,pihpil
vast mountain,,much mountain,mucpil
village; town,,little settlement,pihcih
megacity; metropole,,much settlement,muccih
tribe,,little country,pihtec
empire,,much country,muctec
have affinity; be fond; not mind; OBJ has an affinity for IND,,little want,pihcai
love; adore; be attached; OBJ platonically loves IND,,much want,muccai
"continent; large landmass bounded by ocean on most sides, e.g. Eurasia, North America",,much landmass,muctayl
island; landmass that is smaller than a continent and bounded by ocean,,little landmass,pihtayl
"subcontinent; subsection of a continent bounded by divisors of geographical and cultural significance, e.g. Europe, South Asia",,be-inside continent,nemuctayl
archipelago,,much little landmass,mucpihtayl
hold; carry; have with one; have on one’s person; OBJ {holder} holds IND {held; accessory},,hand own,cohtue
pick up; hand; grab; SBJ {hander; picker upper} puts IND in OBJ’s hand,,INCOHATIVE OF hold,cohtueki
put down; release; SBJ {putter downer; taker} takes IND out of OBJ’s hand,,CESSATIVE OF hold,cohtuenu
be humid; be dank; OBJ is humid,,be-liquid be-mixed,cwemiclo
be arid; be dry; OBJ is not humid,,be-gaseous be-mixed,hyomiclo
be wet; IND is wet with OBJ {AMOUNT:wetness},,be-liquid be-on,cwetaka
be dry; IND is dry of OBJ,,be-gaseous be-on,hyotaka
wet; wetten; SBJ wets IND with OBJ,,INCOHATIVE OF be wet,cwetakaki
dry; SBJ dries OBJ off of IND,,INCOHATIVE OF be dry,hyotakaki
be dusty; IND is covered in OBJ dust,,be-powder be-on,ufataka
dust; SBJ covers IND in OBJ dust,,INCOHATIVE OF be dusty,ufatakaki
undust; dust; SBJ removes the OBJ dust from IND {INSTRUMENT:duster},,CESSATIVE OF be dusty,ufatakanu
mist,,be-liquid powder,cweufalon
kitchen,,food factory,nyamalonestakilyot
cook; fry; bake; boil; simmer; grill; SBJ {cook; chef; baker} cooks OBJ {cooking},,food burn,nyamaloncyauki
bake; SBJ {baker} bakes OBJ {pastry; baked good},,be-gaseous cook,hyopeka
vegetarian; something that does not eat meat,,0 animal eater,nultunnyamales
carnivore; something that eats meat,,animal eater,tunnyamales
herbivore; something that eats plants,,plant eater,ciuhnyamales
alcohol {GENITIVE:alcoholic},,have-fun body-of-water,mocacwelon
beer,,cereal body-of-water,selealcwelon
be drunk; be intoxicated; OBJ is drunk,,have-fun be-sick,mocafake
be sober; be dry; OBJ is sober,,be-bored be-sick,pehafake
drink; get drunk; intoxicate; SBJ makes OBJ drunk,,INCOHATIVE OF be drunk,mocafakeki
sober; SBJ makes OBJ become sober,,CESSATIVE OF be drunk,mocafakenu
have hangover; OBJ has a hangover,,be-bored begin be-sick,pehakifake
tea,,leaf body-of-water,yehcwelon
milk,,parent body-of-water,mamacwelon
cheese,,parent be-liquid solid,mamacwekutilon
blood,,be-rhythmic body-of-water,tutumucwelon
bleed; SBJ bleeds out OBJ,,blood exit,tutumucwelonkoki
urine; pee,,be-yellow body-of-water,pilacwelon
urinate; pee; SBJ urinates out OBJ,,urine exit,pilacwelonkoki
feces; excrement; poop; manure; guano,,buttocks solid,nalkaskutilon
diarrhea,,be-liquid feces,cwenalkaskutilon
defecate; poop; SBJ defecates out OBJ,,feces exit,nalkaskutilonkoki
saliva,,eat body-of-water,nyamacwelon
expectorate; spit; salivate; SBJ spits OBJ out,,saliva exit,nyamacwelonkoki
drool; SBJ drools OBJ,,saliva fall,nyamacwelonkae
sweat; perspiration,,be-hot body-of-water,okucwelon
sweat; perspire; SBJ sweats out OBJ,,sweat exit,okucwelonkoki
tears,,be-sad body-of-water,nihucwelon
cry; weep; sob; tear; SBJ cries out OBJ,,tears exit,nihucwelonkoki
mucus; snot,,breathe body-of-water,hihacwelon
have runny nose; drip mucus; SBJ’s nose runs OBJ,,mucus exit,hihacwelonkoki
semen,,have-sex body-of-water,seksocwelon
ejaculate; SBJ ejaculates out OBJ,,semen exit,seksocwelonkoki
pus,,prokaryote body-of-water,paktelcwelon
pimple; abscess,,pus container,paktelcwelonnelum
foot {GENITIVE:pedal},,leg hand,lekcoh
shoulder,,arm joint,amtokalyot
hip,,leg joint,lektokalyot
neck,,head joint,siltokalyot
wrist,,hand joint,cohtokalyot
ankle,,foot joint,lekcohtokalyot
bicep; upper arm,,be-near arm,nitoam
forearm; lower arm,,be-far arm,kuleam
thigh; upper leg,,be-near leg,nitolek
shin; lower leg,,be-far leg,kulelek
pelvis; hips,,torso bottom,talpaholon
mouth,,eat gland,nyamaec
lip,,eat sheet,nyamahwok
tooth,,eat hard,nyamanitalon
gums,,eat soft,nyamakulalon
alveolar ridge; alveolar margin,,tooth nub,nyamanitalontapalon
hard palate,,mouth plate,nyamaecmat
soft palate; velum,,mouth sheet,nyamaechwok
larynx; vocal chords; voice box,,speak gland,polaec
sensor; sense,,perceive gland,cuaec
eye; eyeball,,can-see gland,huec
ear,,can-hear gland,oyeec
olfactory gland,,can-smell gland,oleec
nose,,can-smell nub,oletapalon
tongue,,can-taste gland,utoec
skin,,can-feel gland,amaec
heart,,be-rhythmic gland,tutumuec
heart (metaphorical); soul; spirit,,feel gland,swaec
brain,,ponder gland,cintaec
muscle,,move gland,hilaec
bone,,be-hard gland,nitaec
flesh; meat,,be-soft gland,kulaec
uterus,,be-pregnant gland,imeec
ovary,,egg gland,tanec
testicle,,seed gland,picec
vagina,,have-sex hole,seksokokilyot
penis,,have-sex rod,seksopal
genital,,have-sex gland,seksoec
mamary gland,,parent gland,mamaec
breast; bussom; boob; nipple,,parent nub,mamatapalon
bladder,,urine gland,pilacwelonec
rectum,,feces gland,nalkaskutilonec
anus; asshole,,feces hole,nalkaskutilonkokilyot
lick; SBJ {licker} licks OBJ {licked},,tongue rub,utoecsapu
suck; SBJ {sucker} sucks on OBJ {sucked},,mouth rub,nyamaecsapu
sand; SBJ {sander} sands OBJ {sanded},,powder rub,ufalonsapu
scratch; SBJ scratches OBJ {INSTRUMENT:scratcher},,be-sharp rub,aklasapu
scrub; brush; SBJ scrubs OBJ {INSTRUMENT:scrubber; brush},,be-clean rub,pulasapu
sweep; SBJ sweeps OBJ off of IND {INSTRUMENT:broom},,be-broad rub,ancosapu
mop,,be-liquid broom,cweancosapuluat
shake; vibrate; OBJ shakes,,be-rhythmic move,tutumuhila
shake; vibrate; SBJ shakes OBJ,,INCOHATIVE OF shake,tutumuhilaki
antenna,,string arm,cyenam
tentacle,,string leg,cyenlek
wing,,fly arm,feam
shell,,protect gland,silakipowinuec
skin; hide; peel,,be-outside gland,koec
pickle; SBJ pickles OBJ {pickled; pickle},,be-salty age,lunacyolyan
be armoured; IND {armour} armours OBJ {armoured},,protect be-clothed,silakipowinupolti
armour; SBJ {armourer} armours OBJ in IND,,protect put-on,silakipowinupoltiki
peel; SBJ peels OBJ,,be-outside cut,kotokanu
slice; SBJ slices OBJ into IND {slice},,surface cut,lumahtokanu
stab; SBJ stabs OBJ {pincushion} {INSTRUMENT:dagger; stake},,rod cut,paltokanu
squeeze; compress; SBJ squeezes OBJ,,be-inside push,nepuci
stretch; expand; SBJ pulls outward on OBJ,,be-outside push,kopuci
float; be buoyant; SBJ makes OBJ float in IND {CAUSE:buoyant force; buoyancy},,be-liquid go-up,cwekuhoki
sink; submerge; SBJ makes OBJ sink in IND,,be-liquid go-down,cweniceki
grid; hatch,,be-square network,funtalet
bite; SBJ {biter} bites OBJ {bitten},,mouth squeeze,nyamaecnepuci
snoring; snores,,sleep sound,tolmioyelum
pencil,,be-stone writing-utensil,patoteluat
draw; SBJ {drawer} paints IND {drawn; drawing subject} as OBJ {drawing},,surface model,lumahmwoni
paint; SBJ {painter} paints IND {painting subject} as OBJ {painting},,be-liquid model,cwemwoni
sculpt; etch; carve; SBJ {carver} carves IND {sculpture subject} as OBJ {sculpture},,be-solid model,kutimwoni
polytheism; pantheon,,much god,muckot
monothiesm,,1 god,kankot
athiesm,,0 god,nulkot
agnosticism; secularism; religious nonaffiliation,,0 religion,nulfitilip
be vibrant; be colourful; OBJ has many hues and colours,,much be-coloured,muclono
be monochromatic; OBJ has few colours,,little be-coloured,pihlono
flag; banner,,convert sheet,patilihwok
undergo revolution; OBJ goes through a revolution {TIME:revolution},,be-fast change,yalacalunyo
sugar,,be-sweet powder,tulseufalon
salt,,be-salty powder,lunaufalon
flour,,be-powder cereal,ufaseleal
bread,,be-foamy cereal,fomiseleal
cereal; breakfast cereal,,be-chunky cereal,isaseleal
noodle; linguini,,string cereal,cyenseleal
"be cucumiform; be cucumber-shaped; OBJ is cylindrical, with rounded tapers on the ends",,cucumber be-shaped,cosfolmo
"be luniform; be moon-shaped; OBJ {crescent} is long, bent, and pointy on the ends",,moon be-shaped,fikfolmo
be pisciform; be fish-shaped; OBJ has a larger round bit connected to a triangular bit,,fish be-shaped,pesfolmo
be pyriform; be pear-shaped; OBJ is fatter on one side than the other,,pear be-shaped,pealfolmo
be stelliform; be star-shaped; OBJ {star} is covered in sharp radial points,,sun be-shaped,sunfolmo
be cruciform; be cross-shaped; OBJ comprises two crossed segments,,cross be-shaped,tielonfolmo
"be campanula; be bell-shaped; OBJ is rotationally symmetric, closed on one end, and flared on the other",,bell be-shaped,tintilesfolmo
"be humanoid; be human-shaped; OBJ is a bipedal entity with two legs, two arms, and a head",,person be-shaped,wonfolmo
clock; watch,,be-late meter,hulinoluat
stopwatch,,be-long meter,lamanoluat
timer,,be-early meter,citunoluat
meterstick; ruler; measuring tape; stick,,be-far meter,kulenoluat
scale; balance,,be-heavy meter,palinoluat
thermometer,,be-hot meter,okunoluat
barometer,,be-tense meter,tensonoluat
spectrometer,,light be-long meter,kwanlamanoluat
whole; entirety; entire,,be-in-pieces no which-(relative),lotonyolon
top; shirt,,torso clothing,talpoltilum
sleeve; armband,,arm clothing,ampoltilum
bottom; pants; shorts; skirt,,leg clothing,lekpoltilum
pants; shorts,,2 pants,toslekpoltilum
skirt,,be-open pants,meklelekpoltilum
underwear,,be-low clothing,pahopoltilum
blazer,,be-high clothing,macepoltilum
shoe,,foot clothing,lekcohpoltilum
sock; stocking,,be-low shoe,paholekcohpoltilum
glove,,hand clothing,cohpoltilum
hat,,hair clothing,kespoltilum
mask; glasses,,face clothing,ilupoltilum
bracelet,,wrist clothing,cohtokalyotpoltilum
necklace,,neck clothing,siltokalyotpoltilum
dress,,1 clothing,kanpoltilum
suit; costume; uniform,,whole clothing,lotonyolonpoltilum
watch; wristwatch,,arm clock,amhulinoluat
scarf,,sheet necklace,hwoksiltokalyotpoltilum
be found; OBJ knows where SBJ is,,where-(relative) think,lyotpensi
go through; OBJ moves into and then out of IND {tube; hallway; corridor},,enter exit,nekikoki
travel; SBJ travels from IND to OBJ {destination; getaway},,be-far move,kulehila
society,,be-social network,sosialet
economy,,sell network,mailet
ecosystem; environment,,live network,icilet
advertise; SBJ {advertiser} advertises IND {advertisement} to OBJ {advertisee},,sell show,maicuaki
ticket; voucher,,sell sheet,maihwok
be magnetic; OBJ {magnet} is magnetic,,pull be-metal,mihutatu
do philosophy; SBJ {philosopher} uses reasoning and deduction to ponder OBJ {philosophy},,reality study,lealacsoma
do math; do maths; SBJ {mathematician} studies numbers to learn about OBJ {mathematics},,amount study,kwelyansoma
do physics; SBJ {physicist} studies motion to learn about OBJ {physics},,move study,hilasoma
do chemistry; do material science; SBJ {chemist} studies chemicals to learn about OBJ {chemistry; material science},,be-made-of study,cakasoma
do biology; SBJ {biologist} studies lifeforms to learn about OBJ {biology},,live study,icisoma
do psychology; SBJ {psychologist} studies the human mind to learn about OBJ {psychology},,think study,pensisoma
do sociology; SBJ {sociologist} studies societies to learn about OBJ {sociology},,society study,sosialumsoma
do economics; SBJ {economist} studies economies to learn about OBJ {economics},,economy study,mailetsoma
do history; SBJ {historian} studies the past to test and update OBJ {history},,past study,citulonsoma
do linguistics; SBJ {linguist} studies languages to learn about OBJ {linguist},,language study,tilipsoma
do pedagogy; SBJ {pedagologist} studies pedagogy to learn about OBJ {pedagogy},,teach study,nokisoma
do computer science; SBJ {computer scientist} studies computers to learn about OBJ {computer science},,computer study,komputsoma
do theology; SBJ {theologist} studies religion to learn about OBJ {theology},,god study,kotsoma
do statistics; SBJ {statistician} studies data to learn about OBJ {statistics},,be-likely study,lunisoma
do hydrodynamics; SBJ {hydrodynamicist} studies the motion of fluids to learn about OBJ {hydrodynamics},,be-fluid move study,niluhilasoma
do magnetohydrodynamics; SBJ {magnetohydrodynamicist} studies the motion of conductive fluids in magnetic fields to learn about OBJ {magnetohydrodynamics},,be-magnetic be-fluid move study,mihutatuniluhilasoma
do thermomagnetohydrodynamics; SBJ {thermomagnetohydrodynamicist} studies the heat transfer of conductive fluids in magnetic fields to learn about OBJ {thermomagnetohydrodynamics},,be-hot be-magnetic be-fluid move study,okumihutatuniluhilasoma
do metrology; SBJ {metrologist} studies instruments and measurement to learn about OBJ {qualities of measurement and the scientific method},,study study,somasoma
